dataset,seed,draw,target_h,measured_h,reliability_gain
credit,0,0,1.5,0.03901979657329424,-0.0007346579759890393
credit,0,1,1.5,0.03921753178542515,0.0001061345786457224
credit,0,2,1.5,0.0448252573421528,0.0008407925546347617
credit,0,3,1.5,0.04395358613422343,-0.001409604998922287
credit,0,4,1.5,0.042553543338525256,-0.000878932105693675
credit,0,5,1.5,0.04810298468888488,-0.001129340814043922
credit,0,6,1.5,0.04696707609699761,-6.799502758680909e-05
credit,0,7,1.5,0.03981876643229817,-0.002008272919737597
credit,0,8,1.5,0.03858356392596563,0.00021226915729155582
credit,0,9,1.5,0.04147231712577604,0.0002504087083503581
credit,0,10,1.5,0.039791030747774216,0.0003863987635239763
credit,0,11,1.5,0.03546653964084617,0.0002122691572914448
credit,0,12,1.5,0.04132346740743512,-0.0025306617384353025
credit,0,13,1.5,0.041567790125706966,0.0007048024994611435
credit,0,14,1.5,0.040107088607919596,-0.0013416099713354779
credit,0,15,1.5,0.04205002537169199,-0.0004925333421695877
credit,0,16,1.5,0.04098808828659987,0.0003863987635239763
credit,0,17,1.5,0.04244674988306116,0.0004925333421696987
credit,0,18,1.5,0.046828590710420746,0.0010232062353983107
credit,0,19,1.5,0.042374079805781305,0.00045439379111056333
credit,0,0,2.0,0.04149021577367543,-0.0006666629484022302
credit,0,1,2.0,0.040820312324810586,0.0002122691572914448
credit,0,2,2.0,0.046175471180255064,0.0013034704202764535
credit,0,3,2.0,0.04447203951575971,-0.000530672893228612
credit,0,4,2.0,0.04287947537223113,-0.000878932105693675
credit,0,5,2.0,0.04934282904688685,0.00038639876352386526
credit,0,6,2.0,0.04847657921110314,0.0006368074718743344
credit,0,7,2.0,0.04088145673811627,-0.0010232062353983107
credit,0,8,2.0,0.04114909943729026,-0.0009850666843395084
credit,0,9,2.0,0.04300436615312678,-0.00045439379111078537
credit,0,10,2.0,0.0398106737011857,-0.0018639987900329613
credit,0,11,2.0,0.03494114513778809,-0.0005986679208154211
credit,0,12,2.0,0.040931401877404794,-0.0003184037359371672
credit,0,13,2.0,0.04181493616961405,0.00028026418487814286
credit,0,14,2.0,0.041861689802178595,-0.0003565432869960805
credit,0,15,2.0,0.044200934484500486,-0.0007048024994610325
credit,0,16,2.0,0.040900732191911614,-0.000530672893228612
credit,0,17,2.0,0.04235936836506758,-0.0002122691572914448
credit,0,18,2.0,0.047921721407302886,0.00018241368076354902
credit,0,19,2.0,0.04246284555565837,0.00017412960623242046
credit,1,0,0.0,0.05108723580482595,-0.000486442690580291
credit,1,1,0.0,0.05339481368038138,-0.00021358393848791568
credit,1,2,0.0,0.051070050735526486,-0.0008660934119165686
credit,1,3,0.0,0.05080514934225573,0.000486442690580291
credit,1,4,0.0,0.05347089775855608,-0.0009136105675560113
credit,1,5,0.0,0.05183441006480137,0.00022534159645326568
credit,1,6,0.0,0.052758096833114256,-0.000652509473428875
credit,1,7,0.0,0.052498240796223145,-0.0013525361024969706
credit,1,8,0.0,0.05306989706269377,0.00027285875209248633
credit,1,9,0.0,0.05071206701735438,0.0
credit,1,10,0.0,0.05139630157803232,0.000320375907731818
credit,1,11,0.0,0.05279332903742332,4.7517155639331676e-05
credit,1,12,0.0,0.051390483486114656,0.0
credit,1,13,0.0,0.05173548374111182,-0.0008660934119166797
credit,1,14,0.0,0.05306316183668831,0.0008660934119166797
credit,1,15,0.0,0.052679210569198276,-5.9274813604681675e-05
credit,1,16,0.0,0.05004580857948336,-0.000166066782848584
credit,1,17,0.0,0.05255371308221576,-0.0005932346598240823
credit,1,18,0.0,0.05167193086164686,-0.0005339598462195116
credit,1,19,0.0,0.05331384591930814,5.927481360457065e-05
credit,1,0,0.5,0.05026332470582087,0.0
credit,1,1,0.5,0.05268932911879428,0.0
credit,1,2,0.5,0.050503669671337945,-0.0010796773504044843
credit,1,3,0.5,0.05045505027390334,-0.00037965072133627764
credit,1,4,0.5,0.05499998457027422,-0.001613637196623996
credit,1,5,0.5,0.05110437798125014,-0.000486442690580291
credit,1,6,0.5,0.05255918889592686,0.00048644269058017997
credit,1,7,0.5,0.05350847464516691,-0.0010321601947652637
credit,1,8,0.5,0.05325925623103404,-0.0007593014426726663
credit,1,9,0.5,0.05037178576850119,0.00010679196924390233
credit,1,10,0.5,0.050818642746595616,0.00027285875209248633
credit,1,11,0.5,0.05308343014891814,0.0007000266290682067
credit,1,12,0.5,0.05284902049508063,-0.000972885381160471
credit,1,13,0.5,0.05356833413054261,-0.000486442690580291
credit,1,14,0.5,0.052803495859834446,0.00010679196924390233
