dataset,seed,h_base_native,h_base_post,target_variance,admissible
credit,0,7.5793533405029745,0.04169005550314177,0.24112511490600724,1
credit,1,7.316869483825875,0.051282319201523874,0.24184806313059942,1
credit,2,6.883785220385816,0.044805957409779995,0.24122680305175162,1
credit,3,7.36138727485556,0.04741431207367008,0.24109370021190174,1
credit,4,6.856578473440579,0.03405894972085235,0.24103908819896225,1
credit,5,7.463426102166366,0.03545736400168879,0.24113770321360078,1
credit,6,7.30032495901696,0.0497079408704094,0.2413593123577913,1
credit,7,7.491312996607932,0.03853772228234212,0.24096800983281427,1
credit,8,7.457972553562638,0.04936268670013242,0.2412996259612285,1
credit,9,7.398602315924244,0.044840411409945616,0.2407850047164767,1
credit,10,7.455386752720583,0.05782741003907568,0.24158489877583608,1
credit,11,7.369084573911224,0.048208513478518074,0.24106334639538654,1
credit,12,7.02494935611173,0.02771743839108462,0.24161438318762857,1
credit,13,7.510723202543504,0.042597907590405014,0.2411948119687902,1
credit,14,6.8938467950410365,0.041064985057354446,0.24131097878005603,1
credit,15,6.947078720435764,0.056707301499615594,0.24169069838721913,1
credit,16,7.033573983849066,0.039507197758692734,0.2410815630244598,1
credit,17,7.289036409387122,0.05540978585632957,0.24091465607106566,1
credit,18,7.595757410651291,0.027835068786559607,0.2412320648788712,1
credit,19,6.955134118928053,0.040602698274605345,0.2417110083854876,1
coil2000,0,6.663596538274126,0.18277628920465958,0.11352300442172487,0
coil2000,1,5.895652996879594,0.22242271010830938,0.11605886074247926,0
coil2000,2,6.340051603214188,0.2083129558794996,0.11470161147854455,0
coil2000,3,5.941285798327413,0.2019122998307921,0.11558708763818608,0
coil2000,4,6.789448874718538,0.18960956138542057,0.11571031441361584,0
coil2000,5,6.040428240571356,0.20772200755539647,0.11385590021696182,0
coil2000,6,6.145445434894888,0.21193344778281026,0.11499738953135905,0
coil2000,7,5.960728716508983,0.20748727177332255,0.11288404389289244,0
coil2000,8,6.342464722141799,0.22860993524008943,0.11600490440981599,0
coil2000,9,6.265936364637182,0.21870208804692912,0.11382444760159424,0
coil2000,10,6.143178193638309,0.2015861733761358,0.11501293999678175,0
coil2000,11,6.007191512826068,0.27016631226062404,0.11253542748320336,0
coil2000,12,6.785469067219123,0.27475271812059904,0.11534085830010896,0
coil2000,13,5.761238429162356,0.20773502361864263,0.11513314000647788,0
coil2000,14,6.217371351248756,0.22963090200603065,0.11744158716638933,0
coil2000,15,5.290375159400764,0.18778224239698013,0.11545941918967699,0
coil2000,16,6.195432731147276,0.19479901423557333,0.11304684570178358,0
coil2000,17,6.712858782515126,0.2583286099592735,0.11941118233409563,0
coil2000,18,6.233830760299261,0.20340718508349448,0.1168258387090489,0
coil2000,19,6.036147347591675,0.2672521606974487,0.11326642074837395,0
adult,0,1.361341282079633,0.015591922278191488,0.028803874210558026,1
adult,1,1.726810373936134,0.021851949320599168,0.02878294707946186,1
adult,2,1.727080805712602,0.024668155596502594,0.02881230876408964,1
adult,3,1.4252780895114414,0.03281632394124209,0.028929737457275763,1
adult,4,1.7034904323605438,0.01741203320186849,0.02847061319671405,1
adult,5,1.6915960975127926,0.017849380267866147,0.02886006634059146,1
adult,6,1.7318570208846784,0.018491389440349643,0.02886217456050221,1
adult,7,1.7540270473146309,0.025561910494436676,0.028904541746181366,1
adult,8,1.70375736983738,0.04093312896524305,0.028556927988417673,1
adult,9,1.7112250575874837,0.012267171441979998,0.028612330796371047,1
adult,10,1.7443693346668239,0.039438455300816896,0.028900193342595686,1
adult,11,1.762838224906607,0.01869490800576735,0.028956995321133452,1
adult,12,1.565540369266898,0.03587668224734598,0.02838150655474564,1
adult,13,1.746164682542968,0.012547252413480495,0.028685981818526708,1
adult,14,1.7533992821214226,0.026803075717680577,0.028730462223524014,1
adult,15,1.733340908492023,0.020164765229381605,0.028972747081408432,1
adult,16,1.6929407365421305,0.019294342773741785,0.028807232146242354,1
adult,17,1.702077451673702,0.04606930411760247,0.029042946039204553,1
adult,18,1.7052871143706776,0.02702514536732591,0.028625862790813292,1
adult,19,1.7476907440322762,0.02369235364018092,0.028782106660786764,1
