dataset,scale,seed,contrast,raw_uniform_distance,normalized_uniform_distance,difference,qa_mismatch
credit,minmax,0,magnitude,0.6450266681583469,0.6200750356707327,0.024951632487614117,0
credit,minmax,1,magnitude,0.6424882188267187,0.6248920322649596,0.017596186561759097,0
credit,minmax,2,magnitude,0.6369113817427664,0.6114575013591242,0.025453880383642158,0
credit,minmax,3,magnitude,0.6530476921617332,0.6376697326550811,0.015377959506652106,0
credit,minmax,4,magnitude,0.6450861977929141,0.6176916679866942,0.027394529806219925,0
credit,minmax,5,magnitude,0.6340008680218172,0.6121872854237111,0.021813582598106063,0
credit,minmax,6,magnitude,0.6496321613735248,0.6286103222780919,0.02102183909543287,0
credit,minmax,7,magnitude,0.6345888928957808,0.6169439071566731,0.017644985739107666,0
credit,minmax,8,magnitude,0.6384476066432094,0.6269265598776592,0.011521046765550214,0
credit,minmax,9,magnitude,0.6402392789302366,0.6205278834156291,0.019711395514607433,0
credit,minmax,10,magnitude,0.6386078835122813,0.619425078851465,0.019182804660816233,0
credit,minmax,11,magnitude,0.6227435754821777,0.6113621821438144,0.0113813933383633,0
credit,minmax,12,magnitude,0.6340780042021356,0.6142649122971449,0.0198130919049907,0
credit,minmax,13,magnitude,0.6306447749376062,0.6078342411953161,0.02281053374229003,0
credit,minmax,14,magnitude,0.6418608003812298,0.6216558275545865,0.020204972826643353,0
credit,minmax,15,magnitude,0.628020179220617,0.6052419750043425,0.022778204216274522,0
credit,minmax,16,magnitude,0.642991635416821,0.6263484370136512,0.016643198403169857,0
credit,minmax,17,magnitude,0.650710301645615,0.6367162990752882,0.013994002570326902,0
credit,minmax,18,magnitude,0.6494660559083996,0.6276369487127923,0.021829107195607267,0
credit,minmax,19,magnitude,0.6334610426880078,0.612519378071174,0.020941664616833888,0
credit,robust_quantile,0,magnitude,0.6430201176699474,0.6388045900006463,0.004215527669301111,0
credit,robust_quantile,1,magnitude,0.6437790474967217,0.64510758175951,-0.001328534262788339,0
credit,robust_quantile,2,magnitude,0.640845626975764,0.6384689213587216,0.002376705617042396,0
credit,robust_quantile,3,magnitude,0.6549653537976827,0.6487140065245636,0.006251347273119157,0
credit,robust_quantile,4,magnitude,0.6532099767675168,0.6476671814773747,0.005542795290142122,0
credit,robust_quantile,5,magnitude,0.6424750929560678,0.637877330379468,0.004597762576599718,0
credit,robust_quantile,6,magnitude,0.6520611338352917,0.6520275903394732,3.354349581852212e-05,0
credit,robust_quantile,7,magnitude,0.6515277185850572,0.6391392649903288,0.012388453594728399,0
credit,robust_quantile,8,magnitude,0.6445499860681817,0.6370990552283198,0.0074509308398619245,0
credit,robust_quantile,9,magnitude,0.6589775366825545,0.6510277022912558,0.007949834391298705,0
credit,robust_quantile,10,magnitude,0.6474029677566961,0.6547473484662777,-0.007344380709581544,0
credit,robust_quantile,11,magnitude,0.6377417860523629,0.6312322896800251,0.006509496372337775,0
credit,robust_quantile,12,magnitude,0.6468425323862099,0.6393426317675892,0.007499900618620714,0
credit,robust_quantile,13,magnitude,0.6548465323296178,0.6451238487038959,0.009722683625721817,0
credit,robust_quantile,14,magnitude,0.6562504571150506,0.6444104052875493,0.011840051827501252,0
credit,robust_quantile,15,magnitude,0.6447577823947428,0.641813820294828,0.0029439620999147653,0
credit,robust_quantile,16,magnitude,0.6465294143803637,0.6385852836695471,0.007944130710816566,0
credit,robust_quantile,17,magnitude,0.6534328000842352,0.6549927376001916,-0.0015599375159564,0
credit,robust_quantile,18,magnitude,0.6502941901965291,0.6501029788309953,0.00019121136553379436,0
credit,robust_quantile,19,magnitude,0.6447749283511908,0.6415793342524212,0.003195594098769572,0
credit,standardized,0,magnitude,0.6435673587122381,0.6001551992656209,0.04341215944661725,0
credit,standardized,1,magnitude,0.6479209055050814,0.5988157362548113,0.049105169250270087,0
credit,standardized,2,magnitude,0.6442058519527762,0.6013779170833529,0.04282793486942338,0
credit,standardized,3,magnitude,0.6603892912515825,0.6158016585892314,0.04458763266235111,0
credit,standardized,4,magnitude,0.6520641929352131,0.6144041396061038,0.037660053329109267,0
credit,standardized,5,magnitude,0.6508307746123052,0.6007293974373924,0.05010137717491281,0
credit,standardized,6,magnitude,0.6522636974702343,0.6129381822681916,0.03932551520204264,0
credit,standardized,7,magnitude,0.6529544634953939,0.6053814378913549,0.047573025604038977,0
credit,standardized,8,magnitude,0.6501609449012784,0.6028674436085353,0.04729350129274312,0
credit,standardized,9,magnitude,0.6570531713644314,0.6089213167157672,0.04813185464866421,0
credit,standardized,10,magnitude,0.6491354120704025,0.6052909741628671,0.04384443790753534,0
credit,standardized,11,magnitude,0.6417308201785712,0.5899543269342497,0.05177649324432154,0
credit,standardized,12,magnitude,0.649446405318956,0.6039893624757243,0.04545704284323171,0
credit,standardized,13,magnitude,0.6561273193132526,0.6088472458700043,0.04728007344324836,0
credit,standardized,14,magnitude,0.6575308668461646,0.6111746060846605,0.04635626076150412,0
credit,standardized,15,magnitude,0.6454486289328438,0.6050480560065237,0.040400572926320155,0
credit,standardized,16,magnitude,0.6507840870351431,0.5998520264227943,0.050932060612348784,0
credit,standardized,17,magnitude,0.6589066446270502,0.6180085879500417,0.04089805667700852,0
credit,standardized,18,magnitude,0.6490836331773316,0.6073084195814995,0.04177521359583214,0
credit,standardized,19,magnitude,0.6483058846411267,0.607547341605124,0.04075854303600268,0
coil2000,minmax,0,magnitude,0.6336932893906458,0.6377953860178108,-0.004102096627164986,0
coil2000,minmax,1,magnitude,0.6602997335091623,0.6616596609796972,-0.0013599274705349274,0
coil2000,minmax,2,magnitude,0.6321552953275834,0.6248334618890681,0.007321833438515335,0
coil2000,minmax,3,magnitude,0.6593947879613512,0.6502434471101692,0.009151340851181966,0
coil2000,minmax,4,magnitude,0.6463095481496627,0.6444830641313979,0.0018264840182647957,0
coil2000,minmax,5,magnitude,0.6197355839188459,0.6164858160451225,0.0032497678737233304,0
coil2000,minmax,6,magnitude,0.6485507246376812,0.6311141304347826,0.01743659420289856,0
coil2000,minmax,7,magnitude,0.7033724340175953,0.6820544151189313,0.021318018898664026,0
coil2000,minmax,8,magnitude,0.6598915989159891,0.6567299006323397,0.003161698283649428,0
coil2000,minmax,9,magnitude,0.6279532426660672,0.6185230976733731,0.009430144992694123,0
coil2000,minmax,10,magnitude,0.6228094091273988,0.6214689265536724,0.0013404825737264314,0
coil2000,minmax,11,magnitude,0.639266487913367,0.6404928186901124,-0.001226330776745388,0
coil2000,minmax,12,magnitude,0.6346014492753623,0.6322866344605476,0.0023148148148147696,0
coil2000,minmax,13,magnitude,0.6921245421245421,0.6916666666666667,0.00045787545787545625,0
coil2000,minmax,14,magnitude,0.6601939898688537,0.6670433049373468,-0.006849315068493067,0
coil2000,minmax,15,magnitude,0.6724428399518652,0.657129963898917,0.015312876052948177,0
coil2000,minmax,16,magnitude,0.6327296849087893,0.6322852404643449,0.0004444444444444695,0
coil2000,minmax,17,magnitude,0.6512092979484283,0.63867518351214,0.012534114436288268,0
coil2000,minmax,18,magnitude,0.6552516459723389,0.6470549246608635,0.008196721311475419,0
coil2000,minmax,19,magnitude,0.6163457143915906,0.6154440011364057,0.0009017132551848439,0
coil2000,robust_quantile,0,magnitude,0.6499894818035201,0.6395624430264357,0.010427038777084396,0
coil2000,robust_quantile,1,magnitude,0.647868073298717,0.664832825077612,-0.016964751778895004,0
coil2000,robust_quantile,2,magnitude,0.6499602645910758,0.6522684243741673,-0.0023081597830915124,0
coil2000,robust_quantile,3,magnitude,0.6726897752213729,0.6685461288125332,0.004143646408839685,0
coil2000,robust_quantile,4,magnitude,0.6671709943433517,0.6607783002794247,0.006392694063926951,0
coil2000,robust_quantile,5,magnitude,0.6304133926467939,0.6257708671129034,0.00464252553389044,0
coil2000,robust_quantile,6,magnitude,0.6870471014492754,0.6563632246376812,0.030683876811594235,0
coil2000,robust_quantile,7,magnitude,0.7105408927989574,0.7001058976865429,0.010434995112414525,0
coil2000,robust_quantile,8,magnitude,0.6591818299135372,0.6723448186862822,-0.01316298877274491,0
coil2000,robust_quantile,9,magnitude,0.634050803641677,0.6242666067213668,0.009784196920310184,0
coil2000,robust_quantile,10,magnitude,0.6446736644401024,0.6468926553672316,-0.002218990927129183,0
coil2000,robust_quantile,11,magnitude,0.6718785724678348,0.6660015381097878,0.005877034358046984,0
coil2000,robust_quantile,12,magnitude,0.639231078904992,0.6441626409017713,-0.0049315619967793545,0
coil2000,robust_quantile,13,magnitude,0.6911172161172161,0.6865384615384615,0.0045787545787545625,0
coil2000,robust_quantile,14,magnitude,0.6812053271039902,0.6642629527594043,0.016942374344585898,0
coil2000,robust_quantile,15,magnitude,0.6987966305655836,0.6697352587244284,0.029061371841155204,0
