dataset,scale,seed,raw_uniform_distance,normalized_uniform_distance,raw_weighted_distance,raw_uniform_dot,normalized_uniform_dot,qa_normalized_distance_dot_mismatch,h_base,magnitude,reliability,primitive
credit,minmax,0,0.6450266681583469,0.6200750356707327,0.6433766609569436,0.5409541679065438,0.6200750356707327,0,7.5793533405029745,0.024951632487614117,-0.0016500072014032918,0.10407250025180304
credit,minmax,1,0.6424882188267187,0.6248920322649596,0.6454524460307283,0.5548552316064009,0.6248920322649596,0,7.316869483825875,0.017596186561759097,0.002964227204009573,0.08763298722031776
credit,minmax,2,0.6369113817427664,0.6114575013591242,0.642449645285349,0.5421360399481855,0.6114575013591242,0,6.883785220385816,0.025453880383642158,0.005538263542582578,0.09477534179458091
credit,minmax,3,0.6530476921617332,0.6376697326550811,0.6551717310937094,0.561262458861149,0.6376697326550811,0,7.36138727485556,0.015377959506652106,0.002124038931976213,0.09178523330058419
credit,minmax,4,0.6450861977929141,0.6176916679866942,0.6499485189291937,0.5497412746185121,0.6176916679866942,0,6.856578473440579,0.027394529806219925,0.0048623211362796015,0.09534492317440202
credit,minmax,5,0.6340008680218172,0.6121872854237111,0.6477499449389146,0.5428529091686424,0.6121872854237111,0,7.463426102166366,0.021813582598106063,0.01374907691709737,0.09114795885317484
credit,minmax,6,0.6496321613735248,0.6286103222780919,0.6514607703931428,0.5481073978063205,0.6286103222780919,0,7.30032495901696,0.02102183909543287,0.0018286090196180105,0.1015247635672043
credit,minmax,7,0.6345888928957808,0.6169439071566731,0.6503206242008983,0.5459559715437826,0.6169439071566731,0,7.491312996607932,0.017644985739107666,0.015731731305117513,0.08863292135199818
credit,minmax,8,0.6384476066432094,0.6269265598776592,0.645839165257285,0.555992544857215,0.6269265598776592,0,7.457972553562638,0.011521046765550214,0.0073915586140755885,0.08245506178599438
credit,minmax,9,0.6402392789302366,0.6205278834156291,0.6529355132311679,0.5523105367643526,0.6205278834156291,0,7.398602315924244,0.019711395514607433,0.012696234300931364,0.08792874216588398
credit,minmax,10,0.6386078835122813,0.619425078851465,0.6462930006046641,0.5439607131767743,0.619425078851465,0,7.455386752720583,0.019182804660816233,0.007685117092382843,0.09464717033550696
credit,minmax,11,0.6227435754821777,0.6113621821438144,0.6387628455497423,0.5396638350811905,0.6113621821438144,0,7.369084573911224,0.0113813933383633,0.01601927006756454,0.0830797404009872
credit,minmax,12,0.6340780042021356,0.6142649122971449,0.647754821128061,0.5517052228712266,0.6142649122971449,0,7.02494935611173,0.0198130919049907,0.013676816925925483,0.08237278133090897
credit,minmax,13,0.6306447749376062,0.6078342411953161,0.6538860853566548,0.5530197510533235,0.6078342411953161,0,7.510723202543504,0.02281053374229003,0.023241310419048644,0.07762502388428272
credit,minmax,14,0.6418608003812298,0.6216558275545865,0.6522124043390254,0.5660819332204077,0.6216558275545865,0,6.8938467950410365,0.020204972826643353,0.010351603957795552,0.07577886716082216
credit,minmax,15,0.628020179220617,0.6052419750043425,0.646171822259572,0.5568218245076738,0.6052419750043425,0,6.947078720435764,0.022778204216274522,0.018151643038955,0.07119835471294322
credit,minmax,16,0.642991635416821,0.6263484370136512,0.6480222429731078,0.5604285551948854,0.6263484370136512,0,7.033573983849066,0.016643198403169857,0.005030607556286815,0.08256308022193559
credit,minmax,17,0.650710301645615,0.6367162990752882,0.6548297482896941,0.5709356884567509,0.6367162990752882,0,7.289036409387122,0.013994002570326902,0.004119446644079039,0.07977461318886414
credit,minmax,18,0.6494660559083996,0.6276369487127923,0.6514369490608809,0.546972175542318,0.6276369487127923,0,7.595757410651291,0.021829107195607267,0.0019708931524813345,0.10249388036608154
credit,minmax,19,0.6334610426880078,0.612519378071174,0.6451648733012606,0.5492145803181722,0.612519378071174,0,6.955134118928053,0.020941664616833888,0.011703830613252753,0.08424646236983568
credit,robust_quantile,0,0.6430201176699474,0.6388045900006463,0.636907454912489,0.5279646570212699,0.6388045900006463,0,2.248517851072224,0.004215527669301111,-0.006112662757458365,0.11505546064867744
credit,robust_quantile,1,0.6437790474967217,0.64510758175951,0.6335627779469799,0.5219555206988298,0.64510758175951,0,2.2706273294356136,-0.001328534262788339,-0.010216269549741752,0.12182352679789188
credit,robust_quantile,2,0.640845626975764,0.6384689213587216,0.6328255354278389,0.5217415415489318,0.6384689213587216,0,2.229251750595264,0.002376705617042396,-0.008020091547925046,0.11910408542683215
credit,robust_quantile,3,0.6549653537976827,0.6487140065245636,0.6442857642905191,0.5264105919860671,0.6487140065245636,0,2.237152472322888,0.006251347273119157,-0.010679589507163634,0.12855476181161563
credit,robust_quantile,4,0.6532099767675168,0.6476671814773747,0.643112096731612,0.526377448650932,0.6476671814773747,0,2.2440237154014566,0.005542795290142122,-0.010097880035904838,0.12683252811658485
credit,robust_quantile,5,0.6424750929560678,0.637877330379468,0.6370804021402567,0.5225067044968712,0.637877330379468,0,2.2667105148666087,0.004597762576599718,-0.00539469081581101,0.11996838845919655
credit,robust_quantile,6,0.6520611338352917,0.6520275903394732,0.64693565510773,0.5220520803480708,0.6520275903394732,0,2.2754802527797384,3.354349581852212e-05,-0.00512547872756175,0.13000905348722092
credit,robust_quantile,7,0.6515277185850572,0.6391392649903288,0.6455007704160247,0.5281237911025145,0.6391392649903288,0,2.245050694767198,0.012388453594728399,-0.006026948169032487,0.1234039274825427
credit,robust_quantile,8,0.6445499860681817,0.6370990552283198,0.6369850897144301,0.5215210953649164,0.6370990552283198,0,2.2663203385180104,0.0074509308398619245,-0.007564896353751571,0.12302889070326528
credit,robust_quantile,9,0.6589775366825545,0.6510277022912558,0.6468032521887485,0.5257693241529027,0.6510277022912558,0,2.265476939861289,0.007949834391298705,-0.012174284493806087,0.13320821252965187
credit,robust_quantile,10,0.6474029677566961,0.6547473484662777,0.6406815544769655,0.5277644588256443,0.6547473484662777,0,2.2443902553453285,-0.007344380709581544,-0.006721413279730637,0.11963850893105188
credit,robust_quantile,11,0.6377417860523629,0.6312322896800251,0.6317643158258412,0.5179244318366677,0.6312322896800251,0,2.2654416696406794,0.006509496372337775,-0.0059774702265216195,0.11981735421569517
credit,robust_quantile,12,0.6468425323862099,0.6393426317675892,0.6377981804966224,0.5250238272916458,0.6393426317675892,0,2.259460604861863,0.007499900618620714,-0.00904435188958752,0.12181870509456416
credit,robust_quantile,13,0.6548465323296178,0.6451238487038959,0.6467931697255194,0.5217788637155872,0.6451238487038959,0,2.2733267411278204,0.009722683625721817,-0.00805336260409839,0.13306766861403052
credit,robust_quantile,14,0.6562504571150506,0.6444104052875493,0.6442999662913204,0.5324207122770782,0.6444104052875493,0,2.2743766527942744,0.011840051827501252,-0.011950490823730231,0.12382974483797238
credit,robust_quantile,15,0.6447577823947428,0.641813820294828,0.647502326542772,0.5284576533634029,0.641813820294828,0,2.287594012594848,0.0029439620999147653,0.00274454414802916,0.1163001290313399
credit,robust_quantile,16,0.6465294143803637,0.6385852836695471,0.6413503391781661,0.5244934560599998,0.6385852836695471,0,2.244519361459796,0.007944130710816566,-0.005179075202197625,0.12203595832036396
credit,robust_quantile,17,0.6534328000842352,0.6549927376001916,0.6485647565184907,0.5271290658981649,0.6549927376001916,0,2.2500278766196398,-0.0015599375159564,-0.004868043565744551,0.12630373418607033
credit,robust_quantile,18,0.6502941901965291,0.6501029788309953,0.6429418481697899,0.522326082701724,0.6501029788309953,0,2.263604185761345,0.00019121136553379436,-0.007352342026739178,0.12796810749480514
credit,robust_quantile,19,0.6447749283511908,0.6415793342524212,0.6409450778269102,0.5272613470166828,0.6415793342524212,0,2.271873154323218,0.003195594098769572,-0.0038298505242805314,0.11751358133450795
credit,standardized,0,0.6435673587122381,0.6001551992656209,0.6433766609569436,0.6001551992656209,0.6001551992656209,0,0.5066366363706339,0.04341215944661725,-0.00019069775529456656,0.04341215944661725
credit,standardized,1,0.6479209055050814,0.5988157362548113,0.6454524460307283,0.5988157362548113,0.5988157362548113,0,0.5226408032363846,0.049105169250270087,-0.0024684594743531463,0.049105169250270087
credit,standardized,2,0.6442058519527762,0.6013779170833529,0.642449645285349,0.6013779170833529,0.6013779170833529,0,0.49252417597762793,0.04282793486942338,-0.0017562066674272625,0.04282793486942338
credit,standardized,3,0.6603892912515825,0.6158016585892314,0.6551717310937094,0.6158016585892314,0.6158016585892314,0,0.5526596964162013,0.04458763266235111,-0.0052175601578731134,0.04458763266235111
credit,standardized,4,0.6520641929352131,0.6144041396061038,0.6499485189291937,0.6144041396061038,0.6144041396061038,0,0.4884089488015761,0.037660053329109267,-0.002115674006019419,0.037660053329109267
credit,standardized,5,0.6508307746123052,0.6007293974373924,0.6477499449389146,0.6007293974373924,0.6007293974373924,0,0.47525752917405856,0.05010137717491281,-0.003080829673390628,0.05010137717491281
credit,standardized,6,0.6522636974702343,0.6129381822681916,0.6514607703931428,0.6129381822681916,0.6129381822681916,0,0.5218604892396216,0.03932551520204264,-0.0008029270770915087,0.03932551520204264
credit,standardized,7,0.6529544634953939,0.6053814378913549,0.6503206242008983,0.6053814378913549,0.6053814378913549,0,0.5567929743824738,0.047573025604038977,-0.0026338392944955658,0.047573025604038977
credit,standardized,8,0.6501609449012784,0.6028674436085353,0.645839165257285,0.6028674436085353,0.6028674436085353,0,0.5472519940815065,0.04729350129274312,-0.004321779643993384,0.04729350129274312
credit,standardized,9,0.6570531713644314,0.6089213167157672,0.6529355132311679,0.6089213167157672,0.6089213167157672,0,0.5038508063573668,0.04813185464866421,-0.00411765813326348,0.04813185464866421
credit,standardized,10,0.6491354120704025,0.6052909741628671,0.6462930006046641,0.6052909741628671,0.6052909741628671,0,0.5483492314349768,0.04384443790753534,-0.0028424114657383814,0.04384443790753534
credit,standardized,11,0.6417308201785712,0.5899543269342497,0.6387628455497423,0.5899543269342497,0.5899543269342497,0,0.5399907075781372,0.05177649324432154,-0.0029679746288289177,0.05177649324432154
credit,standardized,12,0.649446405318956,0.6039893624757243,0.647754821128061,0.6039893624757243,0.6039893624757243,0,0.4976575084186284,0.04545704284323171,-0.0016915841908949902,0.04545704284323171
credit,standardized,13,0.6561273193132526,0.6088472458700043,0.6538860853566548,0.6088472458700043,0.6088472458700043,0,0.506888461678539,0.04728007344324836,-0.00224123395659781,0.04728007344324836
credit,standardized,14,0.6575308668461646,0.6111746060846605,0.6522124043390254,0.6111746060846605,0.6111746060846605,0,0.5346367423994333,0.04635626076150412,-0.005318462507139188,0.04635626076150412
credit,standardized,15,0.6454486289328438,0.6050480560065237,0.646171822259572,0.6050480560065237,0.6050480560065237,0,0.5341761782881619,0.040400572926320155,0.0007231933267282109,0.040400572926320155
credit,standardized,16,0.6507840870351431,0.5998520264227943,0.6480222429731078,0.5998520264227943,0.5998520264227943,0,0.48339278954046355,0.050932060612348784,-0.002761844062035279,0.050932060612348784
credit,standardized,17,0.6589066446270502,0.6180085879500417,0.6548297482896941,0.6180085879500417,0.6180085879500417,0,0.5416885721754431,0.04089805667700852,-0.004076896337356084,0.04089805667700852
credit,standardized,18,0.6490836331773316,0.6073084195814995,0.6514369490608809,0.6073084195814995,0.6073084195814995,0,0.4904701402892214,0.04177521359583214,0.0023533158835492562,0.04177521359583214
credit,standardized,19,0.6483058846411267,0.607547341605124,0.6451648733012606,0.607547341605124,0.607547341605124,0,0.4798553965359215,0.04075854303600268,-0.0031410113398661066,0.04075854303600268
coil2000,minmax,0,0.6336932893906458,0.6377953860178108,0.6744337704228315,0.616674847486151,0.6377953860178108,0,6.663596538274126,-0.004102096627164986,0.04074048103218564,0.017018441904494863
coil2000,minmax,1,0.6602997335091623,0.6616596609796972,0.665739443391302,0.5577076293304761,0.6616596609796972,0,5.895652996879594,-0.0013599274705349274,0.005439709882139709,0.10259210417868614
coil2000,minmax,2,0.6321552953275834,0.6248334618890681,0.6513568473459084,0.6040249631863124,0.6248334618890681,0,6.340051603214188,0.007321833438515335,0.019201552018324963,0.02813033214127103
coil2000,minmax,3,0.6593947879613512,0.6502434471101692,0.6644592446832664,0.58896541285098,0.6502434471101692,0,5.941285798327413,0.009151340851181966,0.005064456721915245,0.07042937511037117
coil2000,minmax,4,0.6463095481496627,0.6444830641313979,0.6569685817487902,0.5993593675458325,0.6444830641313979,0,6.789448874718538,0.0018264840182647957,0.010659033599127565,0.04695018060383016
coil2000,minmax,5,0.6197355839188459,0.6164858160451225,0.6090231294779584,0.5954281517205061,0.6164858160451225,0,6.040428240571356,0.0032497678737233304,-0.01071245444088742,0.02430743219833975
coil2000,minmax,6,0.6485507246376812,0.6311141304347826,0.659080615942029,0.6081295289855072,0.6311141304347826,0,6.145445434894888,0.01743659420289856,0.010529891304347894,0.04042119565217395
coil2000,minmax,7,0.7033724340175953,0.6820544151189313,0.7164956011730206,0.613595633756924,0.6820544151189313,0,5.960728716508983,0.021318018898664026,0.013123167155425275,0.08977680026067125
coil2000,minmax,8,0.6598915989159891,0.6567299006323397,0.6741515034197961,0.5833010711059492,0.6567299006323397,0,6.342464722141799,0.003161698283649428,0.014259904503806986,0.07659052781003994
coil2000,minmax,9,0.6279532426660672,0.6185230976733731,0.6307182196245926,0.5985781724176689,0.6185230976733731,0,6.265936364637182,0.009430144992694123,0.0027649769585254003,0.02937507024839836
coil2000,minmax,10,0.6228094091273988,0.6214689265536724,0.635305433119765,0.5948486087759955,0.6214689265536724,0,6.143178193638309,0.0013404825737264314,0.012496023992366156,0.027960800351403248
coil2000,minmax,11,0.639266487913367,0.6404928186901124,0.6539252977489556,0.5788645008418033,0.6404928186901124,0,6.007191512826068,-0.001226330776745388,0.014658809835588538,0.060401987071563745
coil2000,minmax,12,0.6346014492753623,0.6322866344605476,0.6147141706924315,0.606219806763285,0.6322866344605476,0,6.785469067219123,0.0023148148148147696,-0.019887278582930823,0.02838164251207731
coil2000,minmax,13,0.6921245421245421,0.6916666666666667,0.6912087912087912,0.593040293040293,0.6916666666666667,0,5.761238429162356,0.00045787545787545625,-0.0009157509157509125,0.09908424908424907
coil2000,minmax,14,0.6601939898688537,0.6670433049373468,0.7060253659527467,0.6404522198382572,0.6670433049373468,0,6.217371351248756,-0.006849315068493067,0.04583137608389298,0.019741770030596517
coil2000,minmax,15,0.6724428399518652,0.657129963898917,0.6769554753309266,0.6333935018050542,0.657129963898917,0,5.290375159400764,0.015312876052948177,0.004512635379061436,0.039049338146811
coil2000,minmax,16,0.6327296849087893,0.6322852404643449,0.6349519071310116,0.5821691542288557,0.6322852404643449,0,6.195432731147276,0.0004444444444444695,0.0022222222222222365,0.0505605306799336
coil2000,minmax,17,0.6512092979484283,0.63867518351214,0.6422983719179371,0.5984142668925277,0.63867518351214,0,6.712858782515126,0.012534114436288268,-0.00891092603049115,0.052795031055900554
coil2000,minmax,18,0.6552516459723389,0.6470549246608635,0.6784941010118863,0.6400586216546624,0.6470549246608635,0,6.233830760299261,0.008196721311475419,0.02324245503954747,0.01519302431767644
coil2000,minmax,19,0.6163457143915906,0.6154440011364057,0.633113875267117,0.5906407105006362,0.6154440011364057,0,6.036147347591675,0.0009017132551848439,0.01676816087552646,0.025705003890954425
coil2000,robust_quantile,0,0.6499894818035201,0.6395624430264357,0.6667414627305238,0.580898955192483,0.6395624430264357,0,6.828814770472208,0.010427038777084396,0.016751980927003696,0.0690905266110371
coil2000,robust_quantile,1,0.647868073298717,0.664832825077612,0.6670993708618369,0.5683878677985659,0.664832825077612,0,5.446537896695783,-0.016964751778895004,0.01923129756311992,0.07948020550015111
coil2000,robust_quantile,2,0.6499602645910758,0.6522684243741673,0.6481663277470023,0.5718100647453428,0.6522684243741673,0,5.740763381344959,-0.0023081597830915124,-0.0017939368440734738,0.07815019984573301
coil2000,robust_quantile,3,0.6726897752213729,0.6685461288125332,0.663538434370191,0.5777454022553545,0.6685461288125332,0,5.588965805980698,0.004143646408839685,-0.009151340851181855,0.09494437296601832
coil2000,robust_quantile,4,0.6671709943433517,0.6607783002794247,0.6653445103250869,0.5643563006883391,0.6607783002794247,0,7.533215733803888,0.006392694063926951,-0.0018264840182647957,0.10281469365501261
coil2000,robust_quantile,5,0.6304133926467939,0.6257708671129034,0.6085588769245693,0.5997450075527654,0.6257708671129034,0,5.58834413218515,0.00464252553389044,-0.02185451572222452,0.030668385094028472
coil2000,robust_quantile,6,0.6870471014492754,0.6563632246376812,0.6599864130434783,0.5786911231884058,0.6563632246376812,0,5.576934003580374,0.030683876811594235,-0.027060688405797118,0.10835597826086962
coil2000,robust_quantile,7,0.7105408927989574,0.7001058976865429,0.71470348647768,0.6024682306940371,0.7001058976865429,0,5.733288446580647,0.010434995112414525,0.004162593678722626,0.10807266210492028
coil2000,robust_quantile,8,0.6591818299135372,0.6723448186862822,0.6922828752097046,0.5739450251645374,0.6723448186862822,0,5.722940875964034,-0.01316298877274491,0.03310104529616731,0.08523680474899986
coil2000,robust_quantile,9,0.634050803641677,0.6242666067213668,0.625542317635158,0.5791896144767898,0.6242666067213668,0,5.581745552702146,0.009784196920310184,-0.00850848600651899,0.054861189164887136
