dataset,target_heterogeneity,measured_heterogeneity,seed,draw,weighted,uniform_l2,gain
credit,0.0,6.055051198881614,1,16,0.6419212906931722,0.6313107848628083,0.010610505830363826
credit,0.0,6.0640941767618655,1,17,0.6500432747826947,0.6331947336194022,0.016848541163292596
credit,0.0,6.076104556438498,1,18,0.6415070880497902,0.6342693060601952,0.007237781989595016
credit,0.0,6.065445180320759,1,19,0.6431074567602919,0.6314177825088602,0.011689674251431748
credit,0.0,6.279105305303983,2,0,0.6579098997576387,0.638883992781247,0.019025906976391727
credit,0.0,6.226413341520983,2,1,0.646256993348407,0.6405447542851872,0.005712239063219826
credit,0.0,6.234718649032511,2,2,0.6463219821221204,0.640121359681255,0.006200622440865389
credit,0.0,6.231992430299429,2,3,0.6512110569287144,0.6379164179865059,0.013294638942208503
credit,0.0,6.248408985423464,2,4,0.6493363001326706,0.6429262783799766,0.006410021752694006
credit,0.0,6.241744604462311,2,5,0.6485223278365946,0.6381350092588844,0.010387318577710136
credit,0.0,6.251494384231675,2,6,0.6472895569168616,0.6393631841983425,0.007926372718519148
credit,0.0,6.234574787590717,2,7,0.6520808260379538,0.6429170864194266,0.009163739618527234
credit,0.0,6.234607295161305,2,8,0.6516482394734716,0.6373210369628086,0.014327202510662995
credit,0.0,6.2469110399318275,2,9,0.6511086552629377,0.641465724227315,0.009642931035622748
credit,0.0,6.224114119761732,2,10,0.6485597407286581,0.6379768107799444,0.010582929948713682
credit,0.0,6.2500888978695635,2,11,0.652644035199726,0.6409727448693944,0.011671290330331652
credit,0.0,6.213153100463534,2,12,0.6446520286576303,0.6376512218615139,0.007000806796116366
credit,0.0,6.215189624231523,2,13,0.6481271541641758,0.6367348478996613,0.011392306264514485
credit,0.0,6.262996378401122,2,14,0.6488479167550251,0.6407121447246774,0.008135772030347654
credit,0.0,6.25303781672564,2,15,0.6512576617813277,0.6402283573273069,0.011029304454020838
credit,0.0,6.235412628963915,2,16,0.6470289567721447,0.6380234156325577,0.009005541139586959
credit,0.0,6.264239687696275,2,17,0.6466849839326143,0.6405493502654622,0.006135633667152085
credit,0.0,6.247202771321137,2,18,0.6492759073392322,0.6376978267141273,0.011578080625104903
credit,0.0,6.240569551678543,2,19,0.6474989562286901,0.6370092359852032,0.010489720243486933
credit,0.0,6.227798409110974,3,0,0.6364138549615059,0.6226072076904134,0.013806647271092487
credit,0.0,6.1922660019491,3,1,0.6405585422260123,0.626082333196959,0.014476209029053222
credit,0.0,6.21046264771738,3,2,0.6337481057707612,0.626091525157509,0.007656580613252251
credit,0.0,6.2094709356543625,3,3,0.6381999980325979,0.6264125180956645,0.01178747993693341
credit,0.0,6.227420016640331,3,4,0.6366974350075978,0.6279104851403894,0.008786949867208405
credit,0.0,6.223921263013774,3,5,0.6385163949904782,0.6262031187838359,0.012313276206642243
credit,0.0,6.20807065097429,3,6,0.6430936688194668,0.626896305493035,0.016197363326431846
credit,0.0,6.201562287055051,3,7,0.636311453295729,0.6270078991193618,0.00930355417636719
credit,0.0,6.182759434911051,3,8,0.6376230009300006,0.6296920322312065,0.00793096869879406
credit,0.0,6.202639867749602,3,9,0.634394687627347,0.62689170951276,0.007502978114587
credit,0.0,6.209130337800832,3,10,0.6344412924799603,0.627319700096967,0.007121592382993258
credit,0.0,6.20476777627848,3,11,0.6412747088365864,0.6254915481535367,0.015783160683049746
credit,0.0,6.236228278465963,3,12,0.6357016392813435,0.6259845275114573,0.00971711176988621
credit,0.0,6.234246139599427,3,13,0.6329807383272986,0.62689170951276,0.006089028814538655
