dataset,seed,features,weighted,uniform_l2,cosine,logistic,n_test,heterogeneity,weighted_minus_cosine
coil2000,2,85,0.6547619047619048,0.6573385518590997,0.6564253098499674,0.6704174820613176,1165.0,4.931557284677471,-0.0016634050880626194
coil2000,3,85,0.6435420743639921,0.6260600130463144,0.6265166340508806,0.717416829745597,1165.0,4.965853503041906,0.017025440313111484
coil2000,4,85,0.6371493803000652,0.5897260273972602,0.5830397912589693,0.6373124592302675,1165.0,4.921096979250763,0.05410958904109586
coil2000,5,85,0.654631441617743,0.6219504240052185,0.6219504240052185,0.6753098499673842,1165.0,4.90373968986132,0.03268101761252451
coil2000,6,85,0.6533920417482062,0.6438030006523158,0.637573385518591,0.6773972602739726,1165.0,4.937316750755264,0.015818656229615202
coil2000,7,85,0.645955642530985,0.6386497064579257,0.6324200913242009,0.630593607305936,1165.0,4.918249902533406,0.01353555120678418
coil2000,8,85,0.6468688845401174,0.6526418786692759,0.6544683626875407,0.6429223744292237,1165.0,5.095203085856452,-0.007599478147423344
coil2000,9,85,0.634703196347032,0.6006523157208088,0.6020221787345075,0.6759295499021527,1165.0,4.947367624182598,0.03268101761252451
coil2000,10,85,0.689562948467058,0.6538486627527724,0.6538486627527724,0.6952054794520548,1165.0,4.93488179600374,0.03571428571428559
coil2000,11,85,0.6535551206784083,0.642139595564253,0.6425962165688193,0.6600782778864971,1165.0,4.952740904638145,0.010958904109588996
coil2000,12,85,0.6520221787345075,0.6403131115459882,0.639856490541422,0.6684279191128506,1165.0,4.93067675158616,0.0121656881930855
coil2000,13,85,0.6836268754076973,0.674200913242009,0.6732876712328767,0.6728310502283105,1165.0,4.941182608084773,0.010339204174820593
coil2000,14,85,0.6793868232224396,0.6708741030658838,0.6704174820613176,0.6863992172211351,1165.0,4.937676355641805,0.008969341161122024
coil2000,15,85,0.6596542726679713,0.6398891063274625,0.6403457273320288,0.6649706457925636,1165.0,4.961807745141359,0.019308545335942506
coil2000,16,85,0.6710371819960861,0.6562948467058056,0.6567514677103719,0.6749836921069797,1165.0,4.945356515005286,0.014285714285714235
coil2000,17,85,0.7129810828440966,0.6927592954990216,0.6927592954990216,0.71102413568167,1165.0,4.934190998706555,0.02022178734507496
coil2000,18,85,0.6609915198956295,0.657795172863666,0.6573385518590997,0.7038486627527724,1165.0,4.956727311785746,0.0036529680365298134
coil2000,19,85,0.6188845401174168,0.5948793215916504,0.5953359425962166,0.6661774298760601,1165.0,4.944415968873759,0.0235485975212002
heloc,0,23,0.7029542124542125,0.6996428571428572,0.7006007326007326,0.7087490842490842,2092.0,4.30569648015368,0.0023534798534798895
heloc,1,23,0.6899340659340659,0.6764505494505495,0.6763241758241758,0.7003919413919414,2092.0,4.338600453264974,0.01360989010989011
heloc,2,23,0.6925860805860806,0.6870970695970695,0.6875128205128205,0.6919322344322345,2092.0,4.305597338142212,0.005073260073260144
heloc,3,23,0.6944597069597069,0.668448717948718,0.6693644688644689,0.696595238095238,2092.0,4.249483630386874,0.02509523809523806
heloc,4,23,0.6869175824175824,0.6820970695970696,0.6854010989010989,0.7028699633699633,2092.0,4.104240178920959,0.00151648351648348
heloc,5,23,0.6997545787545787,0.6879340659340659,0.6867802197802197,0.7147124542124542,2092.0,4.3439142252077545,0.012974358974358946
heloc,6,23,0.6845970695970696,0.6817710622710622,0.6884908424908425,0.6903864468864469,2092.0,4.1838985028539035,-0.0038937728937729066
heloc,7,23,0.6819175824175824,0.6900860805860806,0.6887124542124542,0.6917637362637363,2092.0,4.378088771596951,-0.006794871794871815
heloc,8,23,0.6817655677655677,0.6716080586080586,0.6727857142857143,0.6905549450549451,2092.0,4.296433643023062,0.008979853479853417
heloc,9,23,0.697007326007326,0.6804761904761905,0.6855274725274725,0.7030586080586081,2092.0,4.3199895315015775,0.011479853479853475
heloc,10,23,0.709459706959707,0.7006391941391941,0.7005549450549451,0.717959706959707,2092.0,4.280740937368203,0.00890476190476186
heloc,11,23,0.7122014652014652,0.7004652014652015,0.7010641025641026,0.7205750915750916,2092.0,4.284391056600666,0.011137362637362647
heloc,12,23,0.7057124542124542,0.6916813186813187,0.6961959706959706,0.72192673992674,2092.0,4.236412861535338,0.009516483516483598
heloc,13,23,0.7103809523809523,0.6993076923076923,0.7056959706959707,0.7120970695970696,2092.0,4.250882901765688,0.0046849816849816595
heloc,14,23,0.684507326007326,0.6773919413919414,0.6797380952380953,0.6923388278388278,2092.0,4.268853504645584,0.004769230769230748
heloc,15,23,0.7112545787545788,0.6971538461538461,0.697069597069597,0.7147967032967033,2092.0,4.350522811782241,0.014184981684981723
heloc,16,23,0.6886758241758242,0.6783076923076923,0.6786538461538462,0.6882747252747252,2092.0,4.235082343409962,0.010021978021978017
heloc,17,23,0.7102912087912088,0.7123058608058608,0.7115952380952381,0.7223003663003662,2092.0,4.129887292453912,-0.001304029304029286
heloc,18,23,0.7148333333333333,0.7017234432234432,0.7018168498168498,0.7176739926739927,2092.0,4.289504715835537,0.013016483516483546
heloc,19,23,0.691128205128205,0.696543956043956,0.7021373626373626,0.6982124542124541,2092.0,4.277406679370515,-0.011009157509157541
