dataset,seed,features,weighted,uniform_l2,cosine,logistic,n_test,heterogeneity,weighted_minus_cosine,weighted_minus_uniform,weighted_minus_logistic
credit,12,23,0.6505362541406154,0.633301731265454,0.6161079271629046,0.6791039805865793,6000.0,7.475488865356791,0.03442832697771081,0.017234522875161473,-0.028567726445963837
credit,13,23,0.6402736720801938,0.6301942035496771,0.6135399836576617,0.6584645620087239,6000.0,7.499701369254009,0.026733688422532098,0.010079468530516666,-0.01819088992853013
credit,14,23,0.6448463499289074,0.6279656369036897,0.6109904240735189,0.6778574217260211,6000.0,7.50058563616601,0.03385592585538855,0.016880713025217764,-0.03301107179711371
credit,15,23,0.6429814301432768,0.6349762807102193,0.6105630785391749,0.6690048380352362,6000.0,7.074710666577532,0.03241835160410189,0.008005149433057523,-0.02602340789195945
credit,16,23,0.637170740344692,0.6411769031510848,0.6220387574985031,0.6639713526905271,6000.0,7.651369965879739,0.015131982846188885,-0.004006162806392766,-0.026800612345835084
credit,17,23,0.648447502052468,0.632064364365446,0.6148009755089081,0.6814257569377935,6000.0,7.437650931539726,0.03364652654355993,0.016383137687022042,-0.032978254885325464
credit,18,23,0.6506426067368041,0.6377674114681158,0.6182380430735271,0.6759590399787392,6000.0,7.272962182136764,0.03240456366327693,0.0128751952686883,-0.02531643324193511
credit,19,23,0.6387251492524437,0.6397583578707614,0.6244018976721925,0.6694794334720566,6000.0,7.402838420282173,0.014323251580251273,-0.0010332086183176825,-0.030754284219612904
coil2000,0,85,0.6465753424657534,0.6214938030006523,0.6316699282452707,0.6785061969993478,1165.0,6.127445961271364,0.014905414220482749,0.025081539465101166,-0.031930854533594344
coil2000,1,85,0.6468688845401174,0.6503587736464449,0.6508153946510111,0.6778864970645793,1165.0,6.020331024679072,-0.003946510110893753,-0.003489889106327526,-0.03101761252446189
coil2000,2,85,0.6561317677756033,0.6435094585779517,0.6605348988910633,0.6646444879321591,1165.0,6.193660900647428,-0.0044031311154599795,0.012622309197651616,-0.008512720156555798
coil2000,3,85,0.6467384213959557,0.6368558382257012,0.6212002609262883,0.7125570776255707,1165.0,6.517285321276867,0.025538160469667393,0.009882583170254478,-0.06581865622961502
coil2000,4,85,0.6313763861709067,0.6041748206131767,0.584409654272668,0.647195042400522,1165.0,6.129293031387473,0.046966731898238745,0.027201565557730012,-0.015818656229615202
coil2000,5,85,0.6569145466405741,0.638682322243966,0.6246901500326159,0.6630136986301369,1165.0,6.1947262335494075,0.03222439660795828,0.0182322243966081,-0.00609915198956279
coil2000,6,85,0.6423026744944553,0.6511089367253751,0.6363666014350946,0.666470971950424,1165.0,6.094341251313553,0.005936073059360725,-0.008806262230919737,-0.024168297455968712
coil2000,7,85,0.6521852576647097,0.6365296803652968,0.634703196347032,0.6556751467710372,1165.0,5.920004235195516,0.01748206131767771,0.015655577299412915,-0.003489889106327526
coil2000,8,85,0.64337899543379,0.6622309197651663,0.6447488584474885,0.6704500978473581,1165.0,6.648245363940072,-0.001369863013698569,-0.01885192433137639,-0.027071102413568138
coil2000,9,85,0.6445857795172865,0.6123613829093282,0.5980756686236138,0.6817025440313111,1165.0,6.790058268594206,0.04651011089367263,0.03222439660795828,-0.03711676451402468
coil2000,10,85,0.675440313111546,0.6521852576647097,0.655218525766471,0.686692759295499,1165.0,6.775901511054763,0.02022178734507496,0.02325505544683626,-0.011252446183953047
coil2000,11,85,0.6567514677103719,0.6448793215916504,0.6444227005870842,0.6655577299412916,1165.0,6.102736955637325,0.012328767123287676,0.01187214611872145,-0.008806262230919737
coil2000,12,85,0.6623613829093281,0.6435094585779517,0.6363666014350946,0.6725375081539465,1165.0,6.775100242063213,0.025994781474233508,0.01885192433137639,-0.010176125244618417
coil2000,13,85,0.689562948467058,0.6783105022831051,0.6755707762557077,0.7160143509458579,1165.0,6.008588892416967,0.013992172211350296,0.011252446183952935,-0.026451402478799846
coil2000,14,85,0.684409654272668,0.6781800391389432,0.6740704500978474,0.6937051532941944,1165.0,6.669646935504299,0.010339204174820593,0.006229615133724775,-0.009295499021526377
coil2000,15,85,0.6646771037181995,0.6506849315068493,0.6430854533594259,0.6736464448793216,1165.0,6.315565164194118,0.02159165035877364,0.013992172211350296,-0.008969341161122024
coil2000,16,85,0.6733202870189172,0.6702870189171559,0.6509784735812133,0.6876060013046315,1165.0,6.789499723784311,0.022341813437703917,0.0030332681017612995,-0.014285714285714235
coil2000,17,85,0.7108610567514677,0.6991519895629486,0.6968688845401174,0.717416829745597,1165.0,5.894587407841691,0.013992172211350296,0.011709067188519162,-0.006555772994129239
coil2000,18,85,0.6582517938682322,0.6658512720156555,0.6520221787345075,0.7079582517938683,1165.0,6.7985391717363,0.006229615133724664,-0.007599478147423344,-0.049706457925636105
coil2000,19,85,0.6296803652968037,0.5935094585779517,0.5967058056099153,0.6693737769080235,1165.0,6.795917528030304,0.03297455968688845,0.036170906718852036,-0.03969341161121975
heloc,0,23,0.717985347985348,0.7141794871794871,0.7004267399267399,0.7239102564102564,2092.0,4.521798731530813,0.017558608058608094,0.0038058608058608723,-0.005924908424908448
heloc,1,23,0.7037600732600733,0.6901648351648351,0.6811593406593407,0.7183333333333333,2092.0,4.554182102067937,0.022600732600732587,0.013595238095238216,-0.014573260073259986
heloc,2,23,0.7113278388278388,0.6878589743589744,0.6764010989010989,0.692974358974359,2092.0,4.5336442959984575,0.03492673992673989,0.023468864468864425,0.018353479853479793
heloc,3,23,0.7008699633699633,0.6792380952380952,0.6734798534798535,0.7047527472527473,2092.0,4.444378123845852,0.027390109890109815,0.021631868131868126,-0.003882783882783958
heloc,4,23,0.7007380952380953,0.6920219780219781,0.6846428571428571,0.707569597069597,2092.0,4.295783807287824,0.016095238095238162,0.008716117216117203,-0.006831501831501718
heloc,5,23,0.7080384615384616,0.6869487179487179,0.6847326007326007,0.7198791208791209,2092.0,4.557752341751712,0.023305860805860945,0.021089743589743692,-0.011840659340659254
heloc,6,23,0.7047069597069597,0.6904010989010989,0.6906904761904762,0.7085952380952381,2092.0,4.4006117199032975,0.014016483516483547,0.014305860805860826,-0.003888278388278321
